imputation,F1,F2,F3,F4,F5,F6,F7
75,ment_flex,epis_mem,verb_wm,visp_mem,anxiety,set_shift,visp_wm
76,set_shift,epis_mem,verb_wm,-anxiety,visp_mem,-ment_flex,visp_wm
77,ment_flex,epis_mem,verb_wm,anxiety,visp_mem,-visp_wm,set_shift
78,ment_flex,epis_mem,verb_wm,visp_mem,-anxiety,set_shift,visp_wm
79,ment_flex,epis_mem,verb_wm,anxiety,visp_mem,set_shift,visp_wm
80,ment_flex,verb_wm,epis_mem,set_shift,visp_mem,anxiety,visp_wm
81,ment_flex,epis_mem,verb_wm,visp_mem,anxiety,-set_shift,visp_wm
82,ment_flex,epis_mem,verb_wm,visp_wm,visp_mem,anxiety,set_shift
83,ment_flex,epis_mem,verb_wm,visp_mem,-set_shift,anxiety,visp_wm
84,-ment_flex,epis_mem,visp_mem,anxiety,set_shift,visp_wm,verb_wm
85,set_shift,epis_mem,verb_wm,-ment_flex,anxiety,visp_mem,visp_wm
86,epis_mem,verb_wm,-ment_flex,set_shift,visp_mem,anxiety,visp_wm
87,-ment_flex,epis_mem,verb_wm,visp_wm,anxiety,visp_mem,set_shift
88,ment_flex,epis_mem,verb_wm,visp_mem,anxiety,visp_wm,set_shift
89,ment_flex,epis_mem,verb_wm,visp_mem,-visp_wm,anxiety,set_shift
90,ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
91,ment_flex,verb_wm,epis_mem,visp_mem,-set_shift,anxiety,visp_wm
92,epis_mem,verb_wm,-ment_flex,set_shift,visp_mem,anxiety,visp_wm
93,ment_flex,epis_mem,verb_wm,anxiety,-set_shift,visp_wm,visp_mem
94,ment_flex,epis_mem,visp_mem,verb_wm,set_shift,anxiety,visp_wm
95,ment_flex,epis_mem,verb_wm,visp_wm,anxiety,visp_mem,set_shift
96,ment_flex,epis_mem,verb_wm,visp_mem,-set_shift,visp_wm,anxiety
97,ment_flex,epis_mem,verb_wm,set_shift,visp_mem,anxiety,visp_wm
98,ment_flex,epis_mem,verb_wm,visp_mem,anxiety,-visp_wm,set_shift
99,ment_flex,epis_mem,verb_wm,visp_mem,set_shift,anxiety,visp_wm
100,ment_flex,epis_mem,verb_wm,visp_mem,-set_shift,visp_wm,anxiety
